Gene_Symbol,WT56_8am_Female_Aged,WT2_8am_Male_Aged,WT55_12pm_Female_Aged,WT5_12pm_Male_Aged,WT54_4pm_Female_Aged,WT6_4pm_Female_Aged,WT53_8pm_Male_Aged,WT51_12am_Male_Aged,WT42_12am_Female_Aged,WT49_4am_Female_Aged,WT43_4am_Female_Aged
Cnppd1,2930.0,2799.0,2522.0,2772.0,2610.0,3145.0,2595.0,2145.0,2420.0,2563.0,1154.0
Cnpy1,0.0,1.0,1.0,0.0,14.0,0.0,2.0,0.0,1.0,0.0,0.0
Cnpy2,2623.0,1710.0,2185.0,2644.0,2076.0,2760.0,2249.0,1946.0,2398.0,2348.0,1411.0
Cnpy3,3527.0,2801.0,3042.0,3886.0,2705.0,3682.0,2578.0,2235.0,2714.0,3085.0,1519.0
Cnpy4,1270.0,843.0,1015.0,1139.0,1136.0,1340.0,907.0,1363.0,1095.0,1124.0,778.0
Cnr1,919.0,753.0,763.0,764.0,954.0,788.0,662.0,951.0,762.0,1044.0,500.0
Cnr2,635.0,660.0,351.0,503.0,444.0,638.0,377.0,405.0,582.0,530.0,246.0
Cnrip1,1740.65,1345.62,1639.98,1755.93,1925.7,1602.44,1573.76,1504.98,1364.77,1537.17,924.09
Cnst,332.0,338.0,314.0,477.0,395.0,427.0,270.0,366.0,277.0,427.0,211.0
Cntd1,27.96,12.49,24.81,52.54,21.13,19.09,47.98,30.15,15.44,17.38,29.36
Cntf,22.0,32.0,34.0,26.0,26.0,20.0,23.0,24.0,25.78,45.0,17.0
Cntfr,125.0,90.0,62.0,73.0,70.0,48.0,50.0,22.0,35.0,83.0,19.0
Cntln,404.0,396.0,339.0,441.0,507.0,338.0,327.0,317.0,276.0,290.0,245.0
Cntn1,1466.0,1303.0,1464.0,1610.0,1844.0,1556.0,1592.0,1563.0,1481.0,1644.0,1016.0
Cntn2,885.0,876.2,757.0,839.0,1126.0,842.0,844.0,796.0,716.0,1089.23,464.0
Cntn3,273.0,241.0,194.0,259.0,308.0,214.0,214.0,205.0,166.0,188.0,96.0
Cntn4,583.0,810.0,633.0,738.0,918.0,503.0,558.0,681.0,525.0,622.0,471.0
Cntn5,201.83,271.2,195.05,209.16,312.53,184.35,184.65,180.03,167.36,183.16,129.02
Cntn6,127.0,140.0,100.0,156.0,226.0,123.0,132.0,150.0,108.0,147.0,86.0
Cntnap1,585.0,589.0,496.0,613.0,762.0,581.0,565.0,467.0,464.0,680.0,327.0
Cntnap2,786.0,1032.0,866.0,992.0,948.0,914.0,781.0,750.0,708.0,751.0,590.0
Cntnap3,94.0,86.0,61.0,82.0,127.0,50.0,76.0,80.0,86.0,77.0,47.0
Cntnap4,167.6,133.58,144.99,206.21,233.95,158.47,165.31,174.73,113.23,169.75,118.7
Cntnap5a,440.0,411.0,495.0,429.0,616.0,395.0,427.0,309.0,309.0,373.0,291.0
Cntnap5b,56.0,52.0,45.0,55.0,81.0,52.0,50.0,50.0,39.0,74.0,28.0
Cntnap5c,96.0,106.0,69.0,89.0,166.0,58.0,63.0,114.0,78.0,86.0,50.0
Cntrl,1447.0,1306.0,1220.0,1257.0,1536.0,1254.0,1250.0,1276.0,1171.0,1272.0,799.0
Cntrob,273.0,263.0,248.0,257.0,361.0,211.0,241.0,183.0,174.0,237.0,120.0
Cntrobos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coa3,4029.0,2628.0,3432.0,3743.0,3310.0,4170.0,3507.0,3367.0,3860.0,3864.0,2236.0
Coa4,622.0,292.0,462.0,462.0,416.0,580.0,373.0,363.0,515.0,525.0,271.0
Coa5,2927.0,2184.0,2168.0,3098.0,2226.0,2945.0,2067.0,2840.0,2608.0,2844.0,1603.0
Coa6,561.97,462.0,481.97,514.0,510.97,566.97,531.0,300.0,519.94,467.0,275.9
Coa7,716.0,512.0,493.0,613.0,577.0,722.0,490.0,483.0,504.0,554.0,313.0
Coasy,1142.0,986.0,895.0,1151.0,881.0,1402.0,815.0,824.0,936.0,1057.0,540.0
Cobl,585.0,454.0,534.0,556.0,666.0,564.0,558.0,573.0,560.0,611.0,362.0
Cobll1,163.0,89.0,98.0,95.0,111.0,119.0,100.0,124.0,103.0,93.0,66.0
Coch,240.0,284.0,226.0,217.0,376.0,286.0,214.0,254.0,195.0,243.0,140.0
Cog1,414.07,406.92,363.22,478.45,528.58,416.17,406.08,308.12,350.55,510.44,219.85
Cog2,1062.0,1061.0,853.0,1053.0,1138.0,1305.0,809.0,870.0,866.0,1028.0,499.0
Cog3,522.0,570.0,492.0,593.0,560.0,558.0,580.0,460.0,427.0,599.0,331.0
Cog4,1515.87,1289.15,1180.4,1271.36,1566.07,1686.75,1071.44,1353.04,1321.48,1673.57,738.88
Cog5,1078.98,978.72,832.11,1142.07,1151.41,1041.45,900.29,998.0,939.31,1087.44,638.27
Cog6,801.0,919.0,739.0,925.0,1074.0,1010.0,768.0,778.0,808.0,916.0,509.0
Cog7,979.0,926.0,757.01,949.0,965.0,1139.01,686.0,799.0,756.0,903.0,470.0
Cog8,454.08,379.83,377.65,553.83,413.22,491.34,319.29,280.17,374.99,368.3,202.54
Coil,251.0,229.0,228.0,319.0,223.0,257.0,184.0,182.0,179.0,234.0,110.0
Col10a1,5.0,4.0,5.0,0.0,2.0,0.0,2.0,5.0,4.0,2.0,3.0
Col11a1,352.0,190.0,280.0,194.0,521.0,193.0,296.0,242.0,151.0,266.0,165.0
Col11a2,79.0,59.0,65.0,77.0,102.0,56.0,69.0,56.0,42.0,80.0,24.0
Col12a1,126.0,83.0,101.0,146.0,187.0,93.0,96.0,96.0,91.0,115.0,66.0
Col13a1,11.0,4.0,6.0,8.0,6.0,8.0,16.0,2.0,1.0,6.0,5.0
Col14a1,38.0,66.0,49.0,72.0,60.0,51.0,51.0,24.0,42.0,59.0,18.0
Col15a1,350.0,288.0,277.0,362.0,248.0,401.0,289.0,279.0,219.0,291.0,151.0
Col16a1,69.0,85.0,107.0,64.0,131.0,56.0,84.0,36.0,27.0,85.0,31.0
Col17a1,8.0,26.0,10.0,19.0,14.0,8.0,10.0,10.0,6.0,3.0,4.0
Col18a1,51.0,60.0,60.0,48.0,51.0,30.0,53.0,43.0,31.0,35.0,17.0
Col19a1,328.0,445.0,330.0,354.0,525.0,245.0,338.0,347.0,244.0,395.0,196.0
Col1a1,96.0,102.0,85.0,105.0,87.0,65.0,173.0,106.0,71.0,85.0,35.0
Col1a2,147.0,168.0,142.0,147.0,199.0,116.0,225.0,141.0,101.0,134.0,81.0
Col20a1,10.0,3.0,15.0,10.0,21.0,1.0,8.0,7.0,3.0,6.0,4.0
Col22a1,16.0,24.0,20.0,16.0,21.0,26.0,19.0,16.0,10.0,22.0,12.0
Col23a1,224.0,285.0,251.0,248.0,420.0,203.0,292.0,254.0,184.0,250.0,148.0
Col24a1,140.0,116.0,113.0,83.0,230.0,109.0,113.0,112.0,61.0,123.0,64.0
Col25a1,233.0,219.0,177.0,232.0,187.0,177.0,178.0,162.0,170.0,197.0,114.0
Col26a1,158.0,122.0,115.0,97.0,141.0,80.0,93.0,65.0,58.0,114.0,54.0
Col27a1,266.0,244.0,248.0,277.0,312.0,221.0,305.0,317.0,240.0,372.0,126.0
Col28a1,8.0,19.0,25.0,12.0,15.0,8.0,28.0,12.0,3.0,22.0,3.0
Col2a1,19.0,22.0,22.0,23.0,29.0,15.0,12.0,12.0,7.0,20.0,11.0
Col3a1,22.0,22.0,21.0,41.0,17.08,10.0,16.0,18.0,10.0,17.0,13.0
Col4a1,540.0,477.0,436.0,343.0,583.0,274.0,362.0,367.0,280.0,410.0,250.0
Col4a2,528.0,402.0,379.0,364.0,548.0,288.0,360.0,327.0,227.0,503.0,177.0
Col4a3,17.38,40.45,18.0,16.0,50.0,32.0,10.0,42.0,22.0,11.0,10.0
Col4a3bp,338.0,350.0,254.0,308.0,333.0,270.0,291.0,230.0,271.0,319.0,157.0
